url,label,LEN,SPECIAL_CHARACTER_COUNT,HAVING_IP_ADDR,HAS_AT,SHORTENING_USED,HTTPS_TOKEN
twitter.com/aQuariusrecOrds,good,27,2,0,0,0,0
tong464.org/,good,12,2,0,0,0,0
legacy.com/obituaries/orlandosentinel/obituary.aspx?n=william-c-underwood-bill&pid=147765497,good,92,12,0,0,0,0
natcath.org/ncr_onli.htm,good,24,3,0,0,0,0
store02.prostores.com/servlet/omegaordnancewerkes/the-AMMO%2C-MAGAZINE%2CUTILITY-POUCHES/s/19/Categories,good,104,13,0,0,0,0
wn.com/San_Diego_State_Aztecs,good,29,2,0,0,0,0
duckduckgo.com/1/c/American_sailors,good,35,4,0,0,0,0
en.wikipedia.org/wiki/Jean-Claude_Turcotte,good,42,5,0,0,0,0
linkedin.com/directory/people/daigneault-2.html,good,47,6,0,0,0,0
artists.letssingit.com/zaho-lkczm/albums,good,40,5,0,0,1,0
grad-nights.com/,good,16,3,0,0,0,0
en.wikipedia.org/wiki/Category:Films_directed_by_Friz_Freleng,good,61,5,0,0,0,0
fortunatogroupservice.com/includes/https:/atendimento/chamada.php?=NG7KVEAME76CWODZWWCPPYG6BZ60A53YK9JFMT3218EXVRXSO0HE9YJJXOS8SU7D4PTQJVRK46HYXEQMO91W8JG699D24JF799WR5OB8US7S8XEW6ETDX0I7IV8MEMSMVPD1EP99IE1QBFMHTGURPCX995UMRN0NCNNQCVZVA1LMF849OY1DBXMJ3G7U4FHG458G17BA8WXM52VSZV7BTSVV02PCH7TKB11C7CNE9K1CLW5LRAWK4RGCT7PADIVOIW1P9O4H94TU1YFS0CDC4TPXZE9CW42E1340Q7QZAKTBI94SKG6O0UL00TL6XNKYPO9GVYF6J0G3IKU41ZR0UDI48506ST5IHCYCAEIUNZW6JQ9JQ1TKECOLHXQ0RVS08QLI65CT59ZNY98O920MDY9UWZ5NUWW2NIJTNVMR5LF3TNR3O2P3ZXXWX2JRYGTMZDFN03FDNVFHJ8K890A988560OX96QU65ATDC9Q,bad,554,9,0,0,0,0
acronyms.thefreedictionary.com/Yorkshire+Electricity+Board,good,58,5,0,0,0,0
billburmaster.com/rmsandw/illinois/us/us24fultonil.html,good,55,6,0,0,0,0
allmusic.com/explore/style/garage-rock-d411,good,43,6,0,0,0,0
edstetzer.com/2010/12/guest-post-from-philip-nation.html,good,56,9,0,0,0,0
cardiffontheweb.com/whatson/,good,28,3,0,0,0,0
sasdt.co.za/wp-content/plugins/filewords/,bad,41,7,0,0,1,0
afropoets.net/ai.html,good,21,3,0,0,0,0
larosasmvp.com/mvps/index_2006_07.htm,good,37,4,0,0,0,0
elfyourself.com/,good,16,2,0,0,0,0
gw4.geneanet.org/monartque?lang=en&m=AM&v=6,good,43,9,0,0,0,0
dailypress.com/topic/us/virginia/fairfax-county/fairfax-%28fairfax-virginia%29-PLGEO100101138020000.topic,good,105,13,0,0,0,0
video.barnesandnoble.com/DVD/The-Watermelon-Man/Godfrey-Cambridge/e/43396050532,good,79,10,0,0,0,0
jyoyu.blogspot.com/2009/05/nagase-tomoya-and-aibu-saki-on-date.html,good,67,12,0,0,1,0
ookaboo.com/o/pictures/topic/314648/La_Ronde,good,44,6,0,0,0,0
amazon.co.uk/Frank-Skinner-Road-Stand-up-Comedy/dp/1844131904,good,61,10,0,0,0,0
bringonthecats.com/2011/10/26/2517065/sen-manchin-d-wv-is-having-a-press-conference-6-pm-est-to-talk-wvu-to,good,107,21,0,0,0,0
duquette.org/ENGLISH/Database/dat367.htm,good,40,5,0,0,0,0
sydneyarchives.info/index.php?option=com_content&view=article&id=163&Itemid=152,good,79,11,0,0,0,0
xn--41a.xn----8sbivjiocsggj.xn--p1ai/56f2gsu782desf,bad,51,11,0,0,0,0
cweventproductions.com/56AVX8tUZYw/gLxTM1zY.php,bad,47,4,0,0,0,0
mylife.com/c-559660208,good,22,3,0,0,0,0
huggies.com.au/forum/forum/39-keeping-fit-healthy-during-pregnancy/page__s__bef1f67a843a8b648239e6bd9ee69c4a,good,108,11,0,0,0,0
housingwire.com/tag/novastar-financial,good,38,4,0,0,0,0
butlercounty.ky.gov/Cities/,good,27,4,0,0,0,0
ezinemark.com/a/ohno-satoshi-girlfriend/,good,40,6,0,0,0,0
linkedin.com/skills/skill/Film_Production,good,41,4,0,0,0,0
en.wikipedia.org/wiki/Massimo_Pacetti,good,37,4,0,0,0,0
minnesota.hometownlocator.com/mn/cass/poplar.cfm,good,48,6,0,0,0,0
skala-club.vn.ua/logs,bad,21,4,0,0,0,0
singaporeaircharter.com/jets/,good,29,3,0,0,0,0
randomhouse.com/book/110265/changelings-by-anne-mccaffrey-and-elizabeth-ann-scarborough,good,87,11,0,0,0,0
ziplocal.ca/companies/2139483-CPAM-Radio-Unioncom,good,49,6,0,0,0,0
ktxs.com/sports/26599504/detail.html,good,36,5,0,0,0,0
listofairlinesintheworld.com/Air+Transat,good,40,3,0,0,0,0
clubcall.com/scottish-premier-league/,good,37,5,0,0,0,0
healthgrades.com/physician/dr-paul-rogers-ylnq4/,good,48,7,0,0,0,0
horror.about.com/od/news/a/fantasia08.htm,good,41,7,0,0,1,0
ordinaries.innovzen.com/y5ekw3ihch.php\nwww.italchimici.it/,bad,59,8,0,0,0,0
familytreeassistant.com/surnames/surnames.php?surname=Foster,good,60,6,0,0,1,0
biz.yahoo.com/ic/56/56646.html,good,30,6,0,0,0,0
pcbc.org.nz/active/libraries/joomla/cache/storage/appcloudshrdocs/Gdoc/,bad,71,10,0,0,0,0
musicstack.com/album/eagles/hell+freezes+over,good,45,6,0,0,0,0
capital-markets.net/aboutus/index.html,good,38,5,0,0,0,0
highviewcf.org/,good,15,2,0,0,0,0
freebase.com/view/en/kelly_blatz,good,32,4,0,0,0,0
realfilmcareer.com/?cat=17,good,26,4,0,0,0,0
amazon.com/Ben-Sweets-Webster/dp/B0000026CC,good,43,6,0,0,0,0
allstarpics.net/pic-gallery/simmone-mackinnon-pics.htm,good,54,7,0,0,0,0
v.exemail.net/gpru/index.php?id=3999444843,bad,42,7,0,0,0,0
bobontv.com/ja919leegrba.html,good,29,3,0,0,0,0
aboutus.org/Bernstein-Rein.com,good,30,4,0,0,0,0
claud9.com/,good,11,2,0,0,0,0
showboatac.casinocity.com/,good,26,3,0,0,0,0
allrss.com/wikipedia.php?title=Norman_Brookes,good,45,5,0,0,0,0
atimetodancenow.com/,good,20,2,0,0,0,0
au.linkedin.com/pub/dir/Bradley/Ayres,good,37,6,0,0,0,0
facebook.com/group.php?gid=10087090502,good,38,5,0,0,0,0
astuin.org/sdfddvs/aos/aos/aos/index.htm,bad,40,7,0,0,0,0
youtube.com/watch?v=WnGUWZUS8_s,good,31,4,0,0,0,0
heroeswiki.com/Debbie_Marshall,good,30,2,0,0,0,0
sovereignestatewines.com/,good,25,2,0,0,0,0
stuffaboutnames.com/peter/actors.htm,good,36,4,0,0,0,0
ogbexnqp.click/upload/_dispatch.php,bad,35,4,0,0,0,0
fantasyfootballchallenge.com/34-75/houston-oilers-schedule.html,good,63,7,0,0,0,0
flickr.com/photos/smurfmatic/2081770933/,good,40,5,0,0,0,0
montessoristugan.se/templates/SHIPPING/index.html,bad,49,5,0,0,0,0
sc.dellrescue.com/,bad,18,3,0,0,0,0
features.rr.com/topic/Alex_Tagliani,good,35,4,0,0,0,0
es.2onlinetv.com/tv/stream.php?id=892,good,37,7,0,0,0,0
reishortsaleprocessor.com/,good,26,2,0,0,0,0
crousel.com/gcc/artists/Claire%20Fontaine/biblio,good,48,6,0,0,0,0
ysusports.com/fan_zone/hof/bios/Nigro-_Joe,good,42,6,0,0,0,0
cardboardgods.net/2006/10/15/dick-pole-and-peter-lacock/,good,56,10,0,0,0,0
cmcelectronics.ca/cmce-job-categories-en.aspx,good,45,6,0,0,0,0
emerit-host.ro/1873214/index.php,bad,32,5,0,0,0,0
ip-23-229-147-12.ip.secureserver.net/public/files/products/specsheet/bookmark/,bad,78,13,0,0,0,0
pbs.org/wnet/americanmasters/episodes/george-stevens/about-george-stevens/710/,good,78,11,0,0,0,0
assistantdirectors.com/Movies/Detailed/426.shtml,good,48,5,0,0,0,0
sherdog.com/pictures/gallery/fighter/f_158/7677/,good,48,7,0,0,0,0
api.holycrossservices.org/dri/donate.php,bad,40,5,0,0,0,0
omega-addict.com/reviews/constellation/,good,39,5,0,0,1,0
188.127.249.203/data/info.php,bad,29,6,1,0,0,0
databasefootball.com/boxscores/scheduleyear.htm?lg=nfl&yr=1972,good,62,8,0,0,0,0
kuow.org/program.php?id=9510,good,28,5,0,0,0,0
en.goldenmap.com/Ion_Croitoru,good,29,3,0,0,0,0
docstoc.com/docs/36762332/FORTIN-BYPASS-KITS,good,44,6,0,0,0,0
lessonresearch.net/,good,19,2,0,0,0,0
checkyourelectricitybill.co.za/BOA/home/login.php?cmd=login_submit&amp;id=7eff7d6a6517ca7c119ac499ab0623227eff7d6a6517ca7c119ac499ab062322&amp;session=7eff7d6a6517ca7c119ac499ab0623227eff7d6a6517ca7c119ac499ab062322,bad,215,14,0,0,0,0
brendanrex.com/wp-admin/includes/boxMrenewal.php,bad,48,6,0,0,1,0
royalvic.com/about_us/contact.html,good,34,4,0,0,0,0
67.222.197.54/ase5.png,bad,22,5,1,0,0,0
fonoteca.cm-lisboa.pt/cgi-bin/pesquisa.pl?cp1=AUT&trm1=Johnny+Alf&tipo=*&cp2=TIT&trm2=&bd=CDBIB&area=all&lg=1,good,109,25,0,0,0,0
gjnashen.wordpress.com/category/jewish-general-hospital/,good,56,7,0,0,0,0
spoke.com/info/p6taCde/JessicaSirois,good,36,4,0,0,0,0
tvtropes.org/pmwiki/pmwiki.php/Main/QuantumLeap,good,47,6,0,0,0,0
vanzandt.blademakers.com/,good,25,3,0,0,0,0
shta.org/Trail/TrailMaps/s067.php,good,33,5,0,0,0,0
ligotti.net/showthread.php?t=3887,good,33,5,0,0,0,0
en.wikipedia.org/wiki/Milton_Schwartz,good,37,4,0,0,0,0
watchwweonline.org/watch-wwe-elimination-chamber-2011-online-for-free,good,69,9,0,0,0,0
yantasy.com/?q=lisa%20ann%20ass%20ripped%20up%20by%20lex%20steele,good,65,11,0,0,0,0
facebook.com/pages/Nichols-Supermarket-Discount-Liquors/100655924025?v=wall,good,75,9,0,0,0,0
khiptv.com/world.aspx,good,21,3,0,0,0,0
pinalcountyaz.gov/Departments/HumanResources/Pages/Home.aspx,good,60,6,0,0,0,0
famoushookups.com/site/celebrity_profile.php?name=Shawn-Batten&celebid=18092,good,76,9,0,0,0,0
41.38.18.230:443,bad,16,4,0,0,0,0
ebay.com/itm/BAVARIAN-CHINA-GERMANY-GOLDEN-CROWN-E-R-FRUIT-PLATE-/130483239744,good,78,13,0,0,0,0
usniff.com/top/ruby-spears+superman,good,35,5,0,0,0,0
palzoo.net/TomHanks,good,19,2,0,0,0,0
uk.linkedin.com/in/rjstockwell,good,30,4,0,0,0,0
residentadvisor.net/dj/akufen,good,29,3,0,0,0,0
www.hotelmoonnightnikola.free.bg/k499xf,bad,39,4,0,0,0,0
manta.com/c/mtxpwk0/regal-american-mall-stadium-12,good,50,8,0,0,0,0
aasteel.com/plates.html,good,23,3,0,0,0,0
iac.lockton-ins.com/,good,20,4,0,0,0,0
youtube.com/watch?v=T10zie5dsxU,good,31,4,0,0,0,0
simobil.net/en/network.cp2?cid=66211394-8DA3-61A4-D677-94809A67F511&linkid=network,good,82,12,0,0,0,0
23mag.com/mags/ba/ba80.htm,good,26,5,0,0,0,0
kaushik.net/avinash/excellent-analytics-tip-9-leverage-statistical-control-limits/,good,82,11,0,0,0,0
riverfronttimes.com/related/to/Jack+Turcotte/,good,45,6,0,0,0,0
zawya.com/cm/profile.cfm/cid1002125,good,35,5,0,0,0,0
mxp2096.com,bad,11,1,0,0,0,0
visitczechrepublic.blogspot.com/,good,32,3,0,0,1,0
stlouiscountymn.gov/,good,20,2,0,0,0,0
bleacherreport.com/articles/436801-oakland-raiders-seven-predictions-for-2010,good,77,9,0,0,1,0
reunion.com/qc/montreal/,good,24,4,0,0,0,0
lockerpulse.com/MLB/Reds/,good,25,4,0,0,0,0
youtube.com/watch?v=6wkel52NmxY,good,31,4,0,0,0,0
pbase.com/rodg/native_plants,good,28,3,0,0,0,0
cndoubleegret.com/admin/secure/cmd-login=c7060c871fcdb4d12ea8f18374f4b441/,bad,74,7,0,0,1,0
dir.yahoo.com/Regional/U_S__States/Ohio/Cities/,good,47,7,0,0,0,0
slantmagazine.com/film/review/its-kind-of-a-funny-story/5070,good,60,10,0,0,0,0
answers.yahoo.com/question/index?qid=20090428093026AAXGCf8,good,58,6,0,0,0,0
tcm.com/mediaroom/video/219271/Them-Movie-Clip-Formic-Acid.html,good,63,10,0,0,0,0
utcourts.gov/courts/dist/distsites/3rd/slc.html,good,47,7,0,0,0,0
himam.site/malisticlover/admin.php,bad,34,4,0,0,0,0
docstoc.com/docs/5444253/PROGRAM-Deh-vieni-non-tardar-Wolfgang-Amadeus-Mozart-Aria,good,82,12,0,0,0,0
